place	year	type	number
CHDV	90	suit	1129
CHDV	97	summary	215
HLDV	103	summary	324
SCDV	94	summary	1185
SLDV	99	suit	408
TNDV	92	suit	1655
PTDV	92	suit	560
TPDV	95	suit	627
TPDV	94	suit	3750
KSDV	92	suit	3225
KSDV	92	suit	2918
KSDV	94	insurance	30
SLDV	103	summary	621
PCDV	102	suit	347
SLDV	103	suit	351
PHDV	92	suit	20
TPDV	100	suit	703
TPDV	96	suit	10109
TYDV	103	summary	21
TYDV	101	suit	2400
TCDV	89	summary	705
CHDV	93	suit	809
PCDV	100	suit	170
TPDV	96	suit	7930
TNDV	88	suit	945
TPDV	100	suit	419
PCDV	97	suit	1929
KLDV	96	suit	162
PCDV	103	suit	598
KSDV	93	suit	2639
SLDV	101	summary	1060
TYDV	102	suit	1025
CHDV	91	suit	125
TCDV	101	suit	3253
TCDV	96	suit	2421
CHDV	89	suit	28
TYDV	102	suit	4
TYDV	96	summary	864
TYDV	98	summary	750
KSDV	104	suit	132
PHDV	95	suit	7
TPDV	103	suit	2762
CHDV	92	suit	624
TCDV	92	suit	2207
TCDV	99	small	2137
KSDV	101	suit	1658
KSDV	98	suit	1739
KSDV	91	suit	2476
PCDV	94	suit	23
TNDV	98	suit	1012
KSDV	100	suit	918
CHDV	101	suit	228
TYDV	98	suit	1448
TPDV	99	summary	6619
TPDV	101	suit	4463
PCDV	97	summary	436
KSDV	98	suit	1097
KSDV	96	suit	228
ILDV	91	suit	74
TPDV	94	suit	6514
TTDV	92	suit	50
PTDV	97	small	1089
CYDV	91	suit	58
CYDV	101	suit	55
ULDV	97	suit	508
PCDV	94	suit	1115
TPDV	100	small	1408
KSDV	98	suit	1341
TPDV	97	suit	778
CHDV	98	summary	110
MLDV	101	suit	214
PTDV	94	summary	387
TYDV	99	suit	1593
PCDV	96	suit	867
TCDV	101	suit	2389
KSDV	95	suit	4140
CHDV	94	suit	37
NTDV	103	suit	308
TNDV	96	suit	248
TNDV	92	suit	1901
TCDV	103	small	351
TYDV	99	summary	381
PCDV	99	suit	29
KSDV	89	suit	736
CYDV	98	suit	309
TYDV	92	summary	834
TYDV	95	summary	1278
CYDV	92	suit	609
TCDV	95	suit	2109
TCDV	94	suit	2323
TCDV	102	summary	221
TCDV	91	summary	671
TPDV	100	suit	28
PCDV	97	suit	637
ULDV	91	summary	76
CYDV	99	suit	438
SCDV	100	suit	398
SCDV	92	small	74
TYDV	92	suit	1998
PCDV	104	small	371
ULDV	103	suit	389
TCDV	101	suit	2077
HLDV	93	suit	17
HLDV	89	suit	141
TNDV	100	suit	79
TPDV	92	suit	4953
TPDV	95	summary	17637
TYDV	91	suit	1550
CHDV	100	suit	194
CHDV	102	summary	202
TYDV	95	suit	1751
CHDV	94	suit	544
CHDV	97	suit	493
CHDV	102	summary	160
TPDV	96	suit	7653
CHDV	92	suit	148
ILDV	102	suit	307
CYDV	90	summary	274
PCDV	103	summary	1967
PCDV	96	suit	330
TPDV	95	suit	11505
MLDV	97	suit	202
TCDV	90	summary	1211
PCDV	104	small	315
SLDV	102	suit	966
PCDV	97	suit	697
TPDV	93	suit	4025
PCDV	95	suit	400
NTDV	93	suit	31
TYDV	91	summary	1072
PCDV	103	summary	1070
KSDV	92	insurance	94
PCDV	102	suit	697
TPDV	93	suit	5134
TPDV	88	suit	2791
PCDV	101	suit	842
CYDV	96	suit	186
TPDV	102	suit	36
