place	year	type	number
KSDV	100	small	1388
SCDV	99	small	61
TPDV	103	small	45
CHDV	98	insurance	6
PCDV	102	small	1584
KSDV	103	small	97
KSDV	102	summary	705
TPDV	99	small	481
TNDV	103	summary	425
KSDV	101	small	2307
CHDV	104	small	21
TCDV	103	small	2345
TCDV	101	small	1726
SLDV	101	small	1090
NTDV	99	small	72
KSDV	99	summary	2669
SLDV	101	small	885
TCDV	102	small	2990
KSDV	99	small	2504
TCDV	98	small	2763
CYDV	102	small	162
KSDV	102	small	2124
PCDV	103	small	2576
TCDV	99	small	2305
MLDV	103	small	468
TYDV	103	small	599
TPDV	99	small	2279
SLDV	94	insurance	4
TPDV	102	summary	11848
SLDV	101	small	287
TCDV	103	small	2031
TYDV	103	small	618
TNDV	103	small	392
TPDV	102	small	1840
SCDV	97	small	145
SLDV	97	small	758
KLDV	103	small	1194
PCDV	103	small	1018
TPDV	101	small	2828
ULDV	102	small	173
SCDV	100	small	63
KSDV	101	small	127
PCDV	103	small	529
TNDV	100	summary	152
CYDV	96	summary	903
SLDV	103	suit	101
SLDV	97	summary	1015
NTDV	102	summary	193
PTDV	100	small	255
PTDV	101	summary	43
PTDV	103	small	242
PTDV	92	suit	561
TYDV	99	summary	975
TYDV	99	summary	251
KSDV	102	small	321
KSDV	102	summary	2778
KSDV	102	summary	795
KSDV	95	summary	9504
KSDV	99	summary	1962
KLDV	102	suit	308
PCDV	101	summary	1012
PCDV	102	small	1909
PCDV	102	suit	1681
PCDV	103	small	2687
PCDV	103	summary	466
PCDV	103	suit	82
CYDV	102	summary	316
CHDV	90	suit	555
TCDV	100	small	365
TCDV	94	small	81
TPDV	100	summary	8260
TPDV	91	suit	5312
TPDV	99	small	966
TNDV	103	summary	336
TNDV	99	small	1143
TPDV	103	small	2657
TPDV	100	small	740
PCDV	101	small	990
TPDV	104	small	567
TPDV	102	small	114
TPDV	95	small	2203
TPDV	97	small	3789
TPDV	103	small	1096
PCDV	100	small	120
SLDV	99	small	1679
TPDV	99	small	2890
TPDV	98	small	905
TPDV	101	small	2561
TPDV	103	small	647
PCDV	101	small	2389
PCDV	91	small	1142
TPDV	96	small	6372
PCDV	101	small	1815
PCDV	103	small	1349
TCDV	103	small	103
TPDV	103	small	1830
SLDV	101	small	804
PCDV	101	small	1772
TPDV	101	small	2978
TPDV	102	small	1334
TPDV	101	small	2388
TPDV	90	small	150
TPDV	103	small	1945
SLDV	101	small	663
TPDV	101	small	1245
TPDV	97	small	4191
CYDV	93	small	915
KSDV	97	small	6930
KSDV	98	insurance	39
PCDV	101	small	594
SCDV	99	small	200
TCDV	101	small	2257
TPDV	100	small	1183
TPDV	102	small	2801
PCDV	102	small	1032
TPDV	100	small	1819
PCDV	102	small	3004
TPDV	94	small	1664
TPDV	100	small	2006
SLDV	102	small	682
TPDV	102	small	621
TYDV	102	small	137
TPDV	103	small	593
TCDV	102	small	1526
TCDV	104	small	814
TCDV	100	small	551
HLDV	102	small	275
PTDV	90	suit	882
PTDV	91	small	214
PCDV	103	small	351
KSDV	97	small	493
CHDV	103	summary	184
KSDV	102	small	73
TCDV	102	small	388
SLDV	101	small	613
TNDV	103	small	490
TPDV	100	small	270
KSDV	102	small	2450
TPDV	101	small	2656
TCDV	103	small	2269
TPDV	103	small	1593
TNDV	103	small	690
SLDV	102	small	355
SLDV	100	small	733
TCDV	103	small	3452
TPDV	101	small	332
TPDV	98	small	2572
TPDV	100	small	910
TPDV	97	small	3253
SLDV	103	small	1001
TPDV	99	summary	12864
SLDV	103	small	501
TPDV	97	small	3373
KSDV	103	summary	23
TCDV	104	small	1067
SLDV	101	small	934
TPDV	97	small	761
SLDV	96	small	1343
KSDV	94	small	2892
SLDV	98	small	1188
SLDV	103	small	109
PCDV	104	small	479
TPDV	101	small	2298
SLDV	103	small	998
TPDV	92	insurance	51
SLDV	102	small	1541
TYDV	99	insurance	36
SLDV	96	small	196
SLDV	104	small	84
TPDV	100	small	636
SLDV	102	small	760
SLDV	103	small	159
TPDV	99	small	1524
KSDV	92	small	511
SLDV	104	small	29
TCDV	103	small	2165
TPDV	102	small	1874
SLDV	98	small	1346
SLDV	100	small	585
SLDV	100	small	276
TPDV	94	small	614
SLDV	97	small	2030
SLDV	101	small	659
TPDV	100	small	419
SLDV	103	small	808
PCDV	101	small	1379
TPDV	101	small	2977
SLDV	103	small	647
TPDV	98	small	337
TPDV	101	small	2185
SLDV	103	small	1222
TCDV	97	suit	2240
TPDV	104	small	653
TPDV	93	small	2259
TPDV	104	small	613
TYDV	103	summary	1380
TPDV	90	small	1699
KSDV	98	insurance	25
KSDV	101	summary	864
TCDV	103	small	3091
SLDV	103	small	1493
TPDV	97	small	2594
SLDV	97	small	657
SLDV	104	small	41
SLDV	103	small	279
SCDV	104	small	146
KLDV	99	small	307
TPDV	102	small	679
TCDV	103	small	1011
TPDV	103	small	303
TYDV	103	small	225
SLDV	98	small	997
KSDV	101	small	207
SLDV	95	small	1065
SLDV	100	small	761
TPDV	102	summary	2514
SLDV	94	small	1433
PCDV	98	small	1582
TPDV	95	small	4607
PCDV	104	small	312
SLDV	100	small	43
TPDV	98	small	1961
TCDV	102	small	836
KSDV	103	small	2468
TPDV	103	small	1468
SLDV	104	small	390
TPDV	103	small	889
TPDV	97	small	2038
TPDV	92	small	246
TPDV	103	small	942
KLDV	91	small	366
TCDV	95	suit	1051
TPDV	95	summary	20501
PCDV	103	small	2454
KSDV	95	small	1832
TPDV	95	small	670
PCDV	100	small	2332
TPDV	97	summary	16807
SCDV	97	small	478
PCDV	98	small	2307
HLDV	97	small	560
TPDV	103	small	475
SLDV	103	small	709
TPDV	101	small	2681
TPDV	99	small	2200
TPDV	95	small	5377
TNDV	101	small	1113
KSDV	103	small	12
TPDV	98	small	2600
TPDV	98	small	683
TPDV	101	small	189
TPDV	104	small	117
SLDV	98	small	900
TCDV	101	small	138
TPDV	98	small	2740
PCDV	98	small	2991
KLDV	97	small	416
SLDV	104	small	549
KLDV	98	small	1629
TPDV	104	small	329
TPDV	98	small	1962
TPDV	93	small	1229
SLDV	103	summary	7
SLDV	95	suit	1240
PTDV	92	summary	1
KSDV	100	suit	1063
KSDV	100	suit	1805
KSDV	91	summary	488
KLDV	97	summary	108
PCDV	101	suit	519
PCDV	102	small	523
PCDV	103	small	2903
PCDV	103	suit	182
PCDV	93	small	2360
PCDV	94	small	1128
TCDV	102	small	662
TCDV	102	summary	65
TCDV	94	small	3568
TPDV	101	small	2160
TPDV	102	small	1931
TPDV	102	small	500
TPDV	102	small	337
TPDV	103	small	1942
TPDV	103	small	1060
TPDV	88	suit	2476
TPDV	89	suit	93
TPDV	95	small	2688
TPDV	95	summary	54851
TPDV	97	small	2673
TPDV	98	small	300
TPDV	99	small	1310
TNDV	103	small	563
TNDV	95	summary	1699
TPDV	102	small	2927
TPDV	102	small	1756
TPDV	102	small	2642
TPDV	97	small	3255
TPDV	102	small	607
TPDV	102	small	3110
PCDV	103	small	1304
SLDV	101	small	668
PCDV	102	small	2997
SLDV	100	small	744
SLDV	102	small	1362
TPDV	102	small	1755
TPDV	101	small	211
TPDV	92	small	3471
PCDV	103	small	2398
KLDV	93	suit	132
SLDV	100	small	1025
TYDV	93	insurance	4
TPDV	95	small	2352
PCDV	103	small	1589
TPDV	99	small	2392
TPDV	103	small	984
TPDV	101	small	2229
TPDV	102	small	2118
TPDV	103	small	481
TPDV	103	small	748
PCDV	102	small	300
PCDV	103	small	2444
PCDV	103	small	226
TYDV	100	small	1022
TPDV	103	small	549
TPDV	99	small	1326
PCDV	103	small	459
TCDV	103	small	1655
PCDV	103	small	2337
KLDV	104	small	426
TPDV	97	small	4267
TCDV	102	small	2092
TPDV	103	small	501
TPDV	103	small	307
SLDV	97	small	637
TCDV	99	small	2046
KLDV	96	small	93
TPDV	96	small	6565
TPDV	99	small	1220
KLDV	99	small	2638
TPDV	103	small	1545
TPDV	99	small	2922
TCDV	97	small	2008
SCDV	97	small	371
TPDV	103	small	2640
TPDV	102	small	282
TPDV	97	small	963
PCDV	102	small	1641
TCDV	103	small	602
TCDV	103	small	371
TPDV	94	small	1558
TPDV	102	small	663
PCDV	92	insurance	6
TPDV	95	small	1214
TPDV	99	small	122
PCDV	101	small	1163
TPDV	101	small	1076
TPDV	95	small	1572
SLDV	100	small	316
SLDV	92	small	126
SLDV	104	small	134
TPDV	95	small	3874
TCDV	102	small	1593
SLDV	104	small	187
TPDV	100	small	669
KLDV	90	insurance	3
TPDV	103	small	856
TPDV	94	small	958
PCDV	103	small	2262
SLDV	101	small	1339
TPDV	103	small	2282
TPDV	100	small	1908
TPDV	103	small	740
TPDV	103	small	79
TPDV	100	small	890
PCDV	101	small	693
TPDV	96	small	2246
TPDV	103	small	3058
KLDV	103	small	1629
SLDV	97	small	1393
TPDV	102	small	2782
TPDV	99	small	834
TCDV	96	small	2404
SLDV	100	small	1280
TPDV	101	small	622
TPDV	90	small	374
SLDV	98	small	821
TPDV	102	small	1410
TPDV	103	small	449
TPDV	100	small	844
TPDV	103	small	16
TYDV	102	insurance	19
TPDV	102	small	1538
TPDV	91	small	1656
TPDV	99	small	859
TPDV	101	small	652
KSDV	99	summary	1974
TPDV	103	small	344
TPDV	102	small	3060
SLDV	101	small	1217
TPDV	99	small	963
PCDV	103	small	872
TPDV	102	small	1983
TPDV	104	small	515
TPDV	98	small	2421
KLDV	101	small	520
TPDV	103	small	2964
PCDV	104	small	478
TPDV	99	small	1744
TPDV	102	small	1254
SLDV	103	small	666
PTDV	100	small	213
TNDV	103	small	363
PCDV	98	small	988
TPDV	103	small	502
TCDV	93	small	146
TPDV	98	small	2303
TPDV	97	small	763
KSDV	102	small	2259
SLDV	102	small	802
TPDV	103	small	1781
TPDV	101	small	701
TPDV	102	small	1233
SLDV	101	small	286
PCDV	102	small	2182
TPDV	102	small	2986
PCDV	103	small	2137
TPDV	101	small	2739
TPDV	101	small	1283
KLDV	90	small	4
TPDV	99	small	295
SLDV	103	small	475
PCDV	104	small	551
TPDV	98	small	1791
TYDV	101	small	55
TPDV	100	small	531
TPDV	104	small	78
TPDV	103	small	1557
TCDV	91	small	976
TPDV	103	small	1636
SLDV	103	small	1021
TPDV	101	small	650
TPDV	91	small	1292
TPDV	104	small	385
TYDV	103	small	746
PCDV	93	insurance	11
KSDV	104	small	4
KLDV	101	small	624
TYDV	98	small	989
TPDV	100	small	1402
TPDV	96	small	5269
PCDV	103	small	1628
TPDV	100	small	285
TPDV	103	small	2689
SLDV	95	small	1641
PCDV	103	small	657
SLDV	104	small	152
TPDV	101	small	2041
SLDV	103	small	565
TPDV	101	small	1509
TPDV	102	small	2388
ULDV	97	small	184
TPDV	103	small	339
SLDV	95	small	1826
TPDV	94	small	2091
TCDV	91	small	2181
TPDV	102	small	1982
CYDV	99	small	759
TPDV	96	small	6137
TPDV	98	small	2850
TPDV	102	small	2511
SLDV	101	small	451
SLDV	100	small	1020
TCDV	91	small	403
KSDV	103	small	220
TCDV	100	small	2750
SLDV	97	small	184
TPDV	102	small	381
TPDV	99	small	1535
TPDV	101	small	889
TYDV	98	small	407
SLDV	103	small	74
TPDV	100	small	725
SLDV	93	insurance	10
SLDV	101	small	339
TCDV	90	small	708
TPDV	96	small	1766
PCDV	101	small	1642
PCDV	98	small	2989
SLDV	101	small	276
SLDV	101	small	987
SLDV	103	summary	98
TYDV	94	small	773
TYDV	95	small	2491
KSDV	96	insurance	56
ULDV	90	summary	220
PCDV	100	small	1619
PCDV	101	small	182
PCDV	101	small	422
PCDV	101	small	882
PCDV	101	summary	1462
PCDV	103	small	1707
PCDV	103	small	2093
PCDV	103	small	195
PCDV	93	insurance	9
PCDV	95	small	2111
TCDV	94	summary	878
TPDV	100	small	831
TPDV	100	small	55
TPDV	102	small	304
TPDV	102	small	335
TPDV	102	small	448
TPDV	102	summary	10065
TPDV	103	small	1708
TPDV	103	small	3156
TPDV	90	suit	1203
TPDV	93	small	1569
TPDV	95	small	4924
TPDV	96	small	5977
TPDV	98	small	987
TPDV	99	summary	11422
TPDV	101	small	1933
PCDV	104	small	349
TPDV	91	small	1225
TPDV	101	small	420
TYDV	102	insurance	29
PCDV	103	small	393
TPDV	101	small	1955
TPDV	103	small	252
TPDV	101	small	1358
TPDV	100	small	712
TPDV	99	small	2935
TPDV	103	small	2937
SLDV	103	small	1145
TPDV	102	small	3172
TCDV	90	small	1026
TPDV	100	small	2276
SLDV	103	small	1009
TPDV	98	small	3344
TYDV	103	insurance	16
TPDV	95	small	2850
TPDV	99	small	1548
TNDV	96	suit	608
TPDV	92	small	2781
SLDV	104	small	339
TPDV	103	small	177
TPDV	100	small	2444
TPDV	98	small	2601
TPDV	102	small	2940
TPDV	104	small	824
PCDV	101	small	1379
SLDV	100	small	203
TPDV	103	small	2437
TPDV	96	small	1238
TPDV	103	small	2217
SLDV	102	suit	339
SLDV	103	small	997
PCDV	98	suit	2370
TPDV	93	suit	307
TPDV	102	small	1045
CYDV	93	small	135
TPDV	99	small	3026
TPDV	101	small	2046
KLDV	89	small	107
TPDV	104	small	262
SLDV	100	small	557
KSDV	92	summary	5
TPDV	101	small	1100
TPDV	96	small	6612
TNDV	100	small	605
TPDV	95	small	5305
PCDV	92	small	146
TPDV	102	small	2201
TPDV	95	small	1022
KLDV	94	small	1254
TPDV	103	small	2462
KLDV	101	small	66
TPDV	102	small	802
TPDV	103	small	692
TYDV	101	small	320
PCDV	101	small	1011
TPDV	103	small	1471
KLDV	95	small	616
SLDV	95	small	780
TPDV	98	small	712
TPDV	96	small	2138
TPDV	102	small	1402
TPDV	102	small	900
TPDV	102	small	604
TPDV	101	small	2325
TPDV	95	small	2417
TPDV	100	small	1193
TPDV	101	small	2301
TPDV	96	small	1764
TPDV	103	small	1436
KLDV	91	small	124
SLDV	101	small	601
TPDV	95	small	668
TCDV	103	small	1054
TPDV	91	small	158
TPDV	102	small	1929
TPDV	102	small	2926
TPDV	95	small	1736
LCDV	97	small	6
SLDV	100	small	884
PTDV	99	summary	37
TYDV	95	summary	1955
KLDV	103	summary	744
PCDV	100	small	1389
PCDV	101	small	429
PCDV	102	summary	62
PCDV	95	small	2604
TCDV	94	small	803
TPDV	100	small	1391
TPDV	102	summary	16213
TPDV	103	small	399
TPDV	103	summary	3906
TPDV	91	small	2025
TPDV	93	small	52
TPDV	93	suit	222
TPDV	95	summary	38129
TPDV	97	small	1293
TPDV	97	small	387
TPDV	90	small	548
TPDV	101	small	2289
TPDV	93	small	1146
KLDV	89	small	431
PCDV	101	suit	2371
TCDV	103	small	47
TCDV	102	small	621
TPDV	102	suit	2811
CYDV	98	small	345
TYDV	95	small	319
KSDV	98	suit	1292
KLDV	101	small	593
SLDV	102	small	550
KSDV	103	small	1559
TCDV	96	small	138
TPDV	92	insurance	97
PCDV	102	summary	133
TCDV	101	small	1046
TPDV	92	suit	1024
TPDV	96	small	4380
TPDV	96	summary	645
TPDV	92	small	1086
TPDV	102	small	2224
TPDV	94	small	1576
PCDV	101	small	2206
TPDV	94	small	2747
TPDV	96	small	3815
TPDV	90	small	591
TYDV	102	small	841
TPDV	93	suit	369
SLDV	95	small	1323
TPDV	102	small	1419
TPDV	91	small	1002
KSDV	102	small	289
TPDV	98	small	3328
PCDV	100	small	1884
SCDV	101	small	7
SCDV	93	summary	218
KSDV	99	small	2381
TPDV	103	small	1235
SLDV	103	small	937
PCDV	104	small	211
TPDV	100	small	1424
PCDV	92	suit	1455
TNDV	97	suit	195
CYDV	90	summary	365
TYDV	92	suit	1307
TYDV	96	summary	1036
TPDV	99	summary	18285
PCDV	90	insurance	29
SLDV	96	small	2001
SLDV	91	suit	1496
TCDV	92	suit	537
TCDV	91	summary	1
TCDV	89	suit	218
KSDV	103	suit	1911
TNDV	96	suit	1413
TPDV	90	small	141
ULDV	99	suit	207
PCDV	101	summary	562
TCDV	102	suit	2050
TPDV	88	suit	1731
TPDV	95	suit	10511
TYDV	100	suit	1891
ILDV	102	suit	220
KSDV	99	suit	1341
KSDV	95	insurance	21
TCDV	97	suit	160
PTDV	96	suit	80
TCDV	94	suit	1172
CHDV	90	summary	163
TYDV	102	suit	773
KSDV	97	suit	669
KSDV	102	suit	1763
KSDV	99	summary	2776
HLDV	103	summary	3
TNDV	94	suit	393
TNDV	95	small	1154
TNDV	99	summary	163
TCDV	103	summary	2317
KSDV	103	suit	2126
SLDV	103	suit	1325
CYDV	95	suit	72
CHDV	94	suit	456
TTDV	98	suit	19
SLDV	103	summary	593
CHDV	92	suit	666
PCDV	100	suit	2377
SLDV	96	suit	193
TCDV	99	suit	1447
TNDV	90	summary	764
PTDV	94	summary	371
TCDV	100	summary	191
TCDV	92	small	2891
TCDV	93	suit	2413
TNDV	94	suit	1316
CYDV	93	suit	18
SLDV	99	small	226
PCDV	102	suit	1810
MLDV	100	suit	222
TCDV	96	summary	324
TCDV	102	suit	783
CYDV	95	suit	586
PTDV	103	summary	191
TNDV	95	summary	1504
CHDV	98	summary	264
KSDV	102	summary	6
TCDV	102	small	842
NTDV	95	suit	161
TNDV	92	suit	1865
TCDV	101	suit	161
TYDV	91	suit	1603
ULDV	97	suit	398
SCDV	101	suit	263
MLDV	99	suit	227
PCDV	101	small	1110
TPDV	97	suit	3282
PCDV	102	small	1819
TPDV	99	small	867
TYDV	89	suit	690
TNDV	92	suit	642
TPDV	103	small	2097
TYDV	103	small	1005
TNDV	103	suit	664
TCDV	95	summary	1183
SLDV	103	small	402
TCDV	93	suit	2058
TYDV	101	small	54
TTDV	97	suit	127
PTDV	99	summary	549
CYDV	98	suit	373
TNDV	90	small	544
KSDV	98	suit	1072
TCDV	93	small	52
KSDV	98	summary	1955
TTDV	102	summary	135
TCDV	91	summary	401
TNDV	97	suit	1396
TPDV	102	suit	2312
KSDV	95	suit	1253
TNDV	94	summary	146
KSDV	103	suit	239
SLDV	95	suit	593
KSDV	100	small	293
KSDV	103	small	438
KSDV	103	small	1013
KSDV	104	small	268
KSDV	103	small	2150
KSDV	103	small	515
TTDV	104	small	1
TPDV	101	suit	2479
CYDV	96	suit	141
KSDV	98	summary	3345
TYDV	96	summary	989
TCDV	97	small	433
TPDV	93	suit	213
TCDV	93	small	2600
TCDV	92	suit	3369
MLDV	98	suit	146
SCDV	95	small	269
KSDV	101	suit	1741
TCDV	104	small	430
HLDV	95	suit	120
NTDV	103	summary	469
SLDV	101	summary	264
TYDV	101	summary	785
TCDV	94	summary	5
TCDV	96	summary	1798
KSDV	98	small	613
PCDV	101	suit	1996
TYDV	97	suit	1088
PTDV	96	summary	169
TYDV	99	suit	354
KSDV	103	summary	941
TCDV	96	summary	4783
TCDV	93	summary	2870
TPDV	97	summary	20110
KLDV	95	suit	281
NTDV	94	suit	465
SLDV	101	summary	799
KSDV	93	suit	266
TNDV	96	suit	729
TCDV	95	suit	3077
TPDV	96	summary	52910
SLDV	95	summary	432
KSDV	103	suit	2362
KSDV	88	suit	2323
HLDV	101	suit	178
MLDV	101	suit	420
TYDV	89	summary	733
PCDV	91	summary	1732
KSDV	101	summary	2736
KSDV	101	suit	132
CHDV	100	suit	363
MLDV	89	small	153
SLDV	92	summary	614
TPDV	102	summary	13441
TCDV	102	small	912
SCDV	89	summary	534
KSDV	101	suit	1951
PTDV	100	suit	663
PCDV	103	suit	1349
KLDV	100	suit	72
KSDV	95	summary	6173
ILDV	103	small	112
KSDV	102	suit	136
KSDV	103	suit	80
TCDV	98	small	2715
PCDV	98	suit	684
TCDV	94	suit	121
SCDV	90	small	66
CYDV	90	summary	11
KSDV	103	suit	1786
HLDV	100	suit	261
TPDV	94	suit	1030
TPDV	103	suit	3695
TPDV	96	small	5268
CHDV	94	suit	68
TPDV	103	small	613
KSDV	91	small	71
CHDV	98	suit	1000
PCDV	100	suit	2132
KSDV	95	summary	432
SLDV	94	suit	637
KSDV	101	summary	2390
KSDV	102	small	665
KSDV	102	small	1615
KSDV	102	small	1421
KSDV	102	small	1294
KSDV	102	small	675
KSDV	99	summary	2025
HLDV	102	suit	87
TYDV	90	small	131
PCDV	94	suit	523
PCDV	99	summary	585
CYDV	92	suit	746
TPDV	95	small	4086
TPDV	101	small	1523
TPDV	97	summary	1865
TCDV	100	suit	2736
TCDV	90	small	382
MLDV	100	small	464
NTDV	102	small	252
TCDV	103	suit	1179
TPDV	100	small	1248
CYDV	103	small	2
SLDV	97	small	873
MLDV	92	small	23
TPDV	102	small	1753
MLDV	92	small	89
CHDV	103	small	240
TPDV	93	insurance	33
NTDV	92	small	473
TCDV	101	small	2
KLDV	91	small	32
TYDV	93	small	399
PCDV	102	small	1154
TPDV	104	small	166
ULDV	96	small	22
SLDV	98	small	2058
CHDV	95	summary	208
TYDV	98	insurance	27
TCDV	91	small	1473
NTDV	92	small	260
TCDV	100	small	1836
TPDV	104	small	889
TTDV	100	small	28
KSDV	102	small	487
KSDV	103	small	32
HLDV	104	summary	41
SLDV	97	small	671
TPDV	96	small	2496
TPDV	95	small	1372
CHDV	102	small	11
SLDV	100	small	1092
SCDV	99	small	19
CHDV	95	insurance	19
TPDV	96	small	5398
TCDV	102	small	1988
TCDV	95	small	655
TYDV	92	insurance	10
TPDV	95	small	4157
TPDV	98	small	2458
TNDV	102	small	222
TPDV	100	small	1363
KSDV	103	small	1885
TCDV	96	small	6058
PCDV	100	small	58
TCDV	91	small	977
ULDV	94	small	134
TPDV	99	small	333
KSDV	99	small	2054
TPDV	96	small	3796
SCDV	91	small	251
NTDV	96	small	141
SLDV	101	small	73
SCDV	101	small	299
TPDV	90	insurance	7
SLDV	103	small	312
TCDV	101	small	419
TPDV	102	small	857
SCDV	93	small	267
KLDV	103	small	927
PTDV	101	small	279
TPDV	98	small	2472
TYDV	103	insurance	3
SCDV	102	small	30
CHDV	97	insurance	9
TYDV	103	insurance	163
TPDV	102	small	3164
PCDV	103	small	675
TCDV	94	small	1383
TPDV	95	small	1539
SLDV	100	small	1094
PCDV	98	small	636
TPDV	104	small	156
TPDV	90	suit	6282
PCDV	100	small	1842
SCDV	103	small	250
TCDV	94	small	171
KSDV	103	small	73
TCDV	96	small	1327
KSDV	102	small	2146
SLDV	103	small	1245
SLDV	101	small	454
KSDV	93	insurance	11
HLDV	100	small	32
TNDV	97	small	2152
CHDV	101	small	440
ILDV	101	small	208
SLDV	103	small	503
PCDV	91	insurance	15
SLDV	103	small	49
TCDV	99	small	658
KSDV	95	insurance	34
SCDV	102	small	82
TCDV	93	small	1891
SCDV	101	small	152
TCDV	95	small	1024
CHDV	96	small	65
TCDV	98	small	2247
TCDV	96	small	485
ULDV	101	small	77
PCDV	98	small	2740
TPDV	98	small	3000
TNDV	100	small	416
TPDV	99	small	1434
KSDV	94	insurance	35
SLDV	102	small	692
ILDV	89	small	135
HLDV	95	small	275
ILDV	97	small	465
TPDV	104	small	33
TCDV	90	small	899
KSDV	99	small	2678
CYDV	93	small	1055
PCDV	103	small	258
TCDV	100	small	1480
TPDV	102	small	1692
CYDV	101	small	77
TNDV	102	small	334
PCDV	93	small	1416
SLDV	100	small	1160
TPDV	97	small	3676
TCDV	104	small	781
KSDV	99	small	2501
TCDV	90	small	303
TCDV	95	small	378
CHDV	99	insurance	15
TPDV	96	small	1097
TCDV	100	small	29
MLDV	103	summary	108
TPDV	103	small	2997
KSDV	91	insurance	13
TCDV	102	small	756
ILDV	96	insurance	1
HLDV	98	small	145
SCDV	104	small	132
TCDV	102	small	583
TPDV	101	small	2655
KLDV	103	small	466
TNDV	93	small	947
SLDV	100	small	192
TCDV	101	small	462
KSDV	91	small	2311
KLDV	94	summary	660
PCDV	100	small	1686
TCDV	98	small	210
SLDV	97	small	622
KSDV	94	small	1115
KLDV	96	small	174
CHDV	103	small	260
TPDV	101	small	255
SCDV	91	small	152
TYDV	102	small	822
SCDV	101	small	43
TPDV	99	small	1421
CHDV	98	insurance	14
TYDV	95	small	2071
SCDV	104	small	130
TCDV	98	small	606
SCDV	101	small	218
SLDV	95	small	781
TNDV	98	small	1753
CHDV	101	small	244
TCDV	92	small	738
PCDV	99	small	1810
CHDV	103	small	461
CHDV	96	insurance	9
SCDV	103	small	344
CYDV	96	small	774
TPDV	97	small	1945
TPDV	95	small	2378
TYDV	96	insurance	51
TCDV	92	small	664
CHDV	90	insurance	8
SCDV	104	small	100
KLDV	102	small	23
MLDV	104	small	91
SCDV	91	small	108
TCDV	94	small	297
TPDV	99	small	592
TCDV	93	summary	2494
TYDV	103	insurance	174
TCDV	96	small	6601
TCDV	102	small	299
TPDV	101	small	774
KSDV	103	small	854
TYDV	101	small	109
SLDV	95	small	2004
TYDV	99	small	292
TNDV	103	small	66
TPDV	101	small	2869
TPDV	98	small	1822
PCDV	102	small	828
SLDV	104	small	116
SCDV	103	small	22
SLDV	103	small	824
SCDV	101	small	301
TPDV	96	small	1826
KSDV	93	insurance	18
NTDV	96	small	318
TPDV	96	small	398
TNDV	94	small	814
TYDV	103	insurance	43
TCDV	94	small	817
TPDV	95	small	5042
TYDV	95	small	900
TCDV	103	small	853
TPDV	90	insurance	101
SCDV	100	small	135
TCDV	100	small	623
TPDV	98	small	1411
KSDV	103	small	440
CYDV	93	small	1133
TPDV	89	insurance	106
SCDV	96	small	156
NTDV	102	small	14
SCDV	101	small	101
TPDV	99	small	78
TPDV	103	small	2549
TPDV	93	small	1954
MLDV	101	small	32
TPDV	101	small	1636
CYDV	92	small	218
SLDV	101	small	627
TCDV	103	small	1457
TCDV	90	small	1280
HLDV	92	small	49
TPDV	101	small	130
SCDV	101	small	246
PCDV	103	small	1339
CYDV	94	small	160
TYDV	103	small	781
TPDV	99	small	2432
TPDV	97	small	1402
TNDV	93	small	225
SCDV	93	small	81
TCDV	101	small	2322
ULDV	103	small	71
KSDV	94	insurance	32
TNDV	97	small	751
TYDV	103	insurance	69
SCDV	103	small	418
TPDV	93	small	1605
TNDV	103	small	341
CYDV	98	small	504
TCDV	97	small	2216
TYDV	93	insurance	36
PCDV	102	small	1143
TCDV	96	small	4411
TPDV	101	small	2602
SLDV	99	small	1680
CHDV	99	small	11
KSDV	98	insurance	46
KSDV	98	small	1364
KSDV	94	insurance	16
SLDV	94	small	1017
SLDV	93	insurance	24
KSDV	102	small	714
SLDV	95	small	1829
KSDV	91	small	678
CHDV	104	small	64
TTDV	104	small	2
TPDV	101	small	2024
CHDV	101	small	114
PCDV	99	small	1996
KSDV	98	insurance	37
TNDV	95	small	2989
KSDV	103	small	40
KLDV	100	small	1424
TCDV	100	small	2797
KSDV	97	small	2100
TPDV	92	insurance	3
KSDV	103	small	2248
TNDV	103	small	1008
KLDV	102	small	1329
SCDV	95	small	510
TYDV	103	small	136
PCDV	102	small	2973
TPDV	99	small	691
TCDV	98	small	696
TPDV	95	small	2123
KLDV	90	insurance	17
TYDV	97	insurance	19
KLDV	95	small	844
CYDV	103	small	78
SCDV	90	summary	174
SCDV	96	small	55
TCDV	98	small	1428
SLDV	103	small	818
TPDV	96	small	508
PCDV	100	small	684
SCDV	94	small	161
PCDV	96	small	6095
SLDV	100	small	991
SCDV	97	small	447
TPDV	97	small	1461
PCDV	102	small	1139
KSDV	101	small	87
TNDV	101	small	355
SLDV	102	small	81
TNDV	103	summary	145
TCDV	93	small	653
CYDV	101	small	371
TCDV	100	small	520
TPDV	103	small	3143
TYDV	103	insurance	142
PTDV	97	small	227
CHDV	95	small	493
SCDV	101	small	276
NTDV	96	small	103
SCDV	96	small	53
SLDV	96	small	1250
TCDV	95	small	1375
TPDV	91	small	874
TCDV	100	small	251
TCDV	91	small	847
TCDV	98	small	2246
KSDV	99	small	1200
ILDV	102	small	9
TPDV	93	small	2597
KSDV	101	small	510
TCDV	91	small	133
TCDV	95	small	1616
TPDV	92	small	593
TPDV	101	small	123
MLDV	102	small	331
TCDV	93	small	1694
TYDV	102	insurance	60
PCDV	102	small	1762
