[u'\u9ad8\u96c4', u'93', u'\u9cf3\u4fdd\u96aa\u5c0f', u'24']
[u'\u9ad8\u96c4', u'94', u'\u8a34', u'1278']
[u'\u9ad8\u96c4', u'94', u'\u8a34', u'2020']
[u'\u9ad8\u96c4', u'94', u'\u8a34', u'401']
[u'\u9ad8\u96c4', u'94', u'\u96c4\u7c21', u'3547']
[u'\u9ad8\u96c4', u'95', u'\u8a34', u'2810']
[u'\u9ad8\u96c4', u'96', u'\u91cd\u8a34', u'51']
[u'\u9ad8\u96c4', u'99', u'\u8a34', u'1235']
[u'\u9ad8\u96c4', u'99', u'\u9cf3\u7c21', u'1042']
[u'\u5c4f\u6771', u'90', u'\u8a34', u'321']
[u'\u5c4f\u6771', u'93', u'\u91cd\u8a34', u'73']
[u'\u5c4f\u6771', u'96', u'\u5c4f\u7c21', u'707']
